64	0.0079	0.0005	64664.0000	4261.4456
128	0.0154	0.0005	66646.3333	2298.7965
256	0.0252	0.0011	81235.0000	3558.7668
512	0.0371	0.0005	110314.6667	1402.4640
1K	0.0513	0.0018	159788.3333	5407.4467
2K	0.0590	0.0021	277843.3333	9479.4085
4K	0.0594	0.0010	551586.3333	9411.0935
8K	0.0642	0.0027	1021934.3333	41628.4790
16K	0.0631	0.0133	2149806.6667	514807.0874
32K	0.0796	0.0127	3355840.3333	586031.4466
65K	0.1327	0.0225	4034754.6667	750394.7269
131K	0.2084	0.0301	5108028.0000	803752.9587
262K	0.2682	0.0273	7878246.6667	849268.3240
524K	0.3909	0.0666	10966528.0000	2071979.2702
1M	0.5207	0.0039	16110109.3333	119085.7317
2M	0.6153	0.0464	27374307.3333	2138673.4633
4M	1.0789	0.1588	31600529.3333	5081738.4680
8M	1.7593	0.2023	38507913.3333	4719713.9438
16M	2.5711	0.0589	52221088.0000	1213034.0996
33M	3.5057	0.1908	76726954.0000	4302426.5546
67M	4.2612	0.0333	125995589.0000	982122.5850
134M	4.6353	0.0746	231686803.3333	3759366.5481
268M	4.8440	0.1182	443503725.0000	10788503.0632
536M	4.3810	0.0614	980488165.0000	13854242.0792
